%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
189849000000,5665,189843940005,map,5.49543714523,4.85156345367,2.7460038662,-0.0937115999824,0.0066775148704,-0.203896084971,-0.974474165554
189885000000,5666,189883940005,map,5.44103860855,4.82275533676,2.74596905708,-0.0938577547163,0.00306685757874,-0.204010007902,-0.974454314388
189917000000,5667,189915940567,map,5.3984375,4.79791688919,2.7457473278,-0.0939054333387,-0.000478092776083,-0.204073101735,-0.974441291012
189949000000,5668,189943940567,map,5.36190700531,4.77497577667,2.74581074715,-0.0938896388072,-0.00225210631347,-0.204128061225,-0.974428815545
189985000000,5669,189983940567,map,5.3110742569,4.74063920975,2.74589586258,-0.0937912627944,-0.0058935466096,-0.204209109615,-0.974406098393
190017000000,5670,190015941127,map,5.27173948288,4.71253633499,2.74672579765,-0.0935217890159,-0.0094621703224,-0.204302633472,-0.974384224179
190049000000,5671,190043941127,map,5.23820495605,4.68685817719,2.74750423431,-0.0934025819233,-0.0112763656115,-0.204328933105,-0.974370821481
190085000000,5672,190083941127,map,5.1917052269,4.64805650711,2.74839997292,-0.092754479297,-0.0152024920642,-0.204482979836,-0.974347092805
190117000000,5673,190115941686,map,5.15571737289,4.61533975601,2.74876976013,-0.0921121112763,-0.0184099594322,-0.204563185289,-0.97433592389
190149000000,5674,190143941686,map,5.125187397,4.58577013016,2.74924182892,-0.0917269997164,-0.0201388389631,-0.204567695002,-0.974337061855
190185000000,5675,190183941686,map,5.08306503296,4.54165887833,2.74955034256,-0.0908268352284,-0.023620181821,-0.204632474708,-0.97432951757
190217000000,5676,190215931744,map,5.05073022842,4.50487327576,2.74970459938,-0.0898361840909,-0.0271067271805,-0.204695020631,-0.974317547865
190249000000,5677,190243931744,map,5.0235209465,4.47179365158,2.7498857975,-0.0893749684935,-0.0288652859954,-0.204676138843,-0.974313417473
190285000000,5678,190283931744,map,4.98639249802,4.42289113998,2.74974632263,-0.0881305538152,-0.032264742795,-0.204805993283,-0.974292807664
190317000000,5679,190315933800,map,4.95818805695,4.38242101669,2.74950575829,-0.0867829531151,-0.0356166895596,-0.20488480789,-0.974280585078
190349000000,5680,190343933800,map,4.93464803696,4.34621524811,2.74935436249,-0.0861105660016,-0.0373560346799,-0.204923540844,-0.974266887353
190385000000,5681,190383933800,map,4.90304708481,4.29350042343,2.74922990799,-0.0846030496215,-0.0406465945597,-0.204956036064,-0.974260354591
190417000000,5682,190415923856,map,4.87983083725,4.25104665756,2.74960827827,-0.0829445368883,-0.0438889015662,-0.205012049226,-0.974250534375
190449000000,5683,190443923856,map,4.86074304581,4.21321964264,2.75002193451,-0.0821306338283,-0.0454604995953,-0.205061403185,-0.974237089531
190485000000,5684,190483923856,map,4.83535909653,4.15775299072,2.75022721291,-0.0803252946458,-0.0485623390583,-0.205162934944,-0.974216479722
190517000000,5685,190515924411,map,4.81670427322,4.11227941513,2.75025629997,-0.0782862050901,-0.0515954304259,-0.205245121298,-0.974209230464
190549000000,5686,190543924411,map,4.80169868469,4.07194948196,2.75031352043,-0.0772967327473,-0.0531639688572,-0.205257301737,-0.974201433297
190585000000,5687,190583924411,map,4.7823138237,4.01325750351,2.75015234947,-0.0751273027455,-0.0561597405076,-0.205316138738,-0.97419055941
190617000000,5688,190615924964,map,4.76857805252,3.96551537514,2.74979281425,-0.0728872596504,-0.0589806409322,-0.205411432762,-0.974173995698
190649000000,5689,190643924964,map,4.75788164139,3.92330670357,2.74954342842,-0.0717326908579,-0.0603380203597,-0.205462135421,-0.974165777063
190685000000,5690,190683924964,map,4.7446975708,3.86219525337,2.74898290634,-0.0692381660792,-0.0628993057464,-0.20557997801,-0.974159539329
190717000000,5691,190715925517,map,4.73600578308,3.81271290779,2.74845290184,-0.0666228336978,-0.0654135699851,-0.205706123527,-0.97414963482
190749000000,5692,190743925517,map,4.72979164124,3.76911616325,2.74807500839,-0.065008694599,-0.0669895240391,-0.205714679337,-0.974149761261
190785000000,5693,190783925517,map,4.72329473495,3.70690703392,2.74771738052,-0.0625733795571,-0.0691913244669,-0.205835682939,-0.974129910095
190817000000,5694,190815926069,map,4.72039794922,3.65796494484,2.74781847,-0.0597080797324,-0.0714491723007,-0.20602197201,-0.97410723509
190849000000,5695,190843926069,map,4.71929168701,3.61505150795,2.74801421165,-0.0583196407117,-0.0725966683251,-0.206081946975,-0.974093874539
190885000000,5696,190883926069,map,4.71983337402,3.55315303802,2.74798774719,-0.0553451084388,-0.07469710657,-0.206247499796,-0.974073559758
190917000000,5697,190915926620,map,4.72208690643,3.50328397751,2.74776959419,-0.0523191418642,-0.0767180288584,-0.206393580773,-0.974052823509
190949000000,5698,190943926620,map,4.72547674179,3.45968198776,2.74752402306,-0.0508093811645,-0.0777175176632,-0.206497219874,-0.974031539351
190985000000,5699,190983926620,map,4.73251247406,3.39714026451,2.74686002731,-0.0477368179561,-0.0794937491785,-0.206626020643,-0.974016282191
191017000000,5700,191015927169,map,4.73999261856,3.34697747231,2.74626398087,-0.0445448658968,-0.0811440643497,-0.206802742379,-0.973993902215
191049000000,5701,191043927169,map,4.74796009064,3.30323338509,2.74578332901,-0.0429649083038,-0.0819221149295,-0.206913082828,-0.973976284832
191085000000,5702,191083927169,map,4.76154184341,3.24083662033,2.74517607689,-0.0383271507532,-0.0802434718078,-0.207142993887,-0.974260733913
191117000000,5703,191115927718,map,4.77407884598,3.19108486176,2.74458670616,-0.0296976559604,-0.0679833763615,-0.207566274686,-0.975403798591
191149000000,5704,191143927718,map,4.7860865593,3.1479279995,2.74423503876,-0.0248316824448,-0.0595512447237,-0.207789737277,-0.976043250577
191185000000,5705,191183927718,map,4.80465078354,3.08717536926,2.74349427223,-0.0157909081676,-0.0414909737423,-0.208092688824,-0.977101136474
191217000000,5706,191215928266,map,4.82062911987,3.03997159004,2.74295306206,-0.00844283430319,-0.0248538477358,-0.208327657504,-0.977706913128
191249000000,5707,191243928266,map,4.83489227295,2.99924063683,2.7424018383,-0.00558412617981,-0.0177344001097,-0.208399855056,-0.977866944712
191285000000,5708,191283928266,map,4.85514736176,2.94156861305,2.74130511284,-0.00130608440796,-0.00656348229121,-0.208441201114,-0.978012056311
191317000000,5709,191315928813,map,4.87110853195,2.89588594437,2.74017357826,0.00129499398338,0.000890152676966,-0.208414817187,-0.978039367469
191349000000,5710,191343928813,map,4.88491249084,2.8564863205,2.73921513557,0.00202749834913,0.00329057749582,-0.208310503737,-0.978055172537
191385000000,5711,191383928813,map,4.90456914902,2.80117225647,2.73769569397,0.00263959456051,0.0061834155115,-0.208154054635,-0.978072958507
191417000000,5712,191415929358,map,4.92073297501,2.75819826126,2.73660588264,0.00254759227075,0.00691270580962,-0.208019901217,-0.978096940064
191449000000,5713,191443929358,map,4.93469142914,2.72114515305,2.7357378006,0.00237840411948,0.00671269876319,-0.207944374064,-0.978114726034
191485000000,5714,191483929358,map,4.95391178131,2.66866874695,2.73445057869,0.00175804235134,0.00568919712069,-0.207820715211,-0.978148780688
191517000000,5715,191515929903,map,4.9687743187,2.62708353996,2.73333239555,0.00117204063682,0.00429629728415,-0.207772457069,-0.978167114567
191549000000,5716,191543929903,map,4.98164415359,2.59122800827,2.73241734505,0.000887832995095,0.00351228086728,-0.207782361578,-0.978168421119
191585000000,5717,191583929903,map,4.9994764328,2.54045939445,2.73110461235,0.00039221272766,0.00210250368745,-0.207769548937,-0.978175417496
191617000000,5718,191615930447,map,5.01334047318,2.50027275085,2.72995901108,1.69293271439e-05,0.00105650266604,-0.207764111993,-0.978178409922
191649000000,5719,191643930447,map,5.02536344528,2.46558761597,2.72909808159,-8.28456399667e-05,0.000630508457281,-0.207797028682,-0.978171708573
191685000000,5720,191683930447,map,5.04213571548,2.41653347015,2.72778868675,-0.000215836645402,-6.30566861946e-05,-0.207815868323,-0.978167957504
191717000000,5721,191715930990,map,5.05527019501,2.37774348259,2.72670125961,-0.000299823486408,-0.000377527077089,-0.207815615442,-0.978167957504
191749000000,5722,191743930990,map,5.06666278839,2.34424257278,2.72582745552,-0.000361843744451,-0.000416091754742,-0.207777472544,-0.978175923258
191785000000,5723,191783930990,map,5.08308029175,2.29727959633,2.72473526001,-0.000410142924646,-0.000410946831519,-0.207802676359,-0.978170697049
191817000000,5724,191815931531,map,5.09702062607,2.26082730293,2.72402596474,-0.000384170558976,-0.000359320098999,-0.207779959208,-0.978175459643
191849000000,5725,191843931531,map,5.10917711258,2.22937870026,2.72359919548,-0.0003690320523,-0.000343693711168,-0.207771951307,-0.978177145517
191885000000,5726,191883931531,map,5.12595081329,2.18484568596,2.72283029556,-0.000422349998382,-0.000222580007397,-0.207848574277,-0.978160961127
