%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
123336000000,12317,123336000000,,0.0,0.0,0.0,0.0,0.0
123346000000,12318,123346000000,,0.0,0.0,0.0,0.0,0.0
123356000000,12319,123356000000,,0.0,0.0,0.0,0.0,0.0
123366000000,12320,123366000000,,0.0,0.0,0.0,0.0,0.0
123376000000,12321,123376000000,,0.0,0.0,0.0,0.0,0.0
123386000000,12322,123386000000,,0.0,0.0,0.0,0.0,0.0
123396000000,12323,123396000000,,0.0,0.0,0.0,0.0,0.0
123406000000,12324,123406000000,,0.0,0.0,0.0,0.0,0.0
123416000000,12325,123416000000,,0.0,0.0,0.0,0.0,0.0
123427000000,12326,123427000000,,0.0,0.0,0.0,0.0,0.0
123436000000,12327,123436000000,,0.0,0.0,0.0,0.0,0.0
123447000000,12328,123447000000,,0.0,0.0,0.0,0.0,0.0
123456000000,12329,123456000000,,0.0,0.0,0.0,0.0,0.0
123466000000,12330,123466000000,,0.0,0.0,0.0,0.0,0.0
123476000000,12331,123476000000,,0.0,0.0,0.0,0.0,0.0
123486000000,12332,123486000000,,0.0,0.0,0.0,0.0,0.0
123496000000,12333,123496000000,,0.0,0.0,0.0,0.0,0.0
123506000000,12334,123506000000,,0.0,0.0,0.0,0.0,0.0
123516000000,12335,123516000000,,0.0,0.0,0.0,0.0,0.0
123526000000,12336,123526000000,,0.0,0.0,0.0,0.0,0.0
123536000000,12337,123536000000,,0.0,0.0,0.0,0.0,0.0
123546000000,12338,123546000000,,0.0,0.0,0.0,0.0,0.0
123557000000,12339,123556000000,,0.0,0.0,0.0,0.0,0.0
123566000000,12340,123566000000,,0.0,0.0,0.0,0.0,0.0
123577000000,12341,123577000000,,0.0,0.0,0.0,0.0,0.0
123586000000,12342,123586000000,,0.0,0.0,0.0,0.0,0.0
123596000000,12343,123596000000,,0.0,0.0,0.0,0.0,0.0
123606000000,12344,123606000000,,0.0,0.0,0.0,0.0,0.0
123616000000,12345,123616000000,,0.0,0.0,0.0,0.0,0.0
123626000000,12346,123626000000,,0.0,0.0,0.0,0.0,0.0
123636000000,12347,123636000000,,0.0,0.0,0.0,0.0,0.0
123647000000,12348,123647000000,,0.0,0.0,0.0,0.0,0.0
123656000000,12349,123656000000,,0.0,0.0,0.0,0.0,0.0
123667000000,12350,123667000000,,0.0,0.0,0.0,0.0,0.0
123676000000,12351,123676000000,,0.0,0.0,0.0,0.0,0.0
123686000000,12352,123686000000,,0.0,0.0,0.0,0.0,0.0
123696000000,12353,123696000000,,0.0,0.0,0.0,0.0,0.0
123706000000,12354,123706000000,,0.0,0.0,0.0,0.0,0.0
123716000000,12355,123716000000,,0.0,0.0,0.0,0.0,0.0
123726000000,12356,123726000000,,0.0,0.0,0.0,0.0,0.0
123736000000,12357,123736000000,,0.0,0.0,0.0,0.0,0.0
123746000000,12358,123746000000,,0.0,0.0,0.0,0.0,0.0
123756000000,12359,123756000000,,0.0,0.0,0.0,0.0,0.0
123766000000,12360,123766000000,,0.0,0.0,0.0,0.0,0.0
123776000000,12361,123776000000,,0.0,0.0,0.0,0.0,0.0
123786000000,12362,123786000000,,0.0,0.0,0.0,0.0,0.0
123796000000,12363,123796000000,,0.0,0.0,0.0,0.0,0.0
123806000000,12364,123806000000,,0.0,0.0,0.0,0.0,0.0
