%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
122497000000,12233,122497000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122507000000,12234,122507000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122517000000,12235,122517000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122527000000,12236,122527000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122538000000,12237,122537000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122547000000,12238,122547000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122558000000,12239,122558000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122567000000,12240,122567000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122577000000,12241,122577000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122587000000,12242,122587000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122597000000,12243,122597000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122607000000,12244,122607000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122617000000,12245,122617000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122627000000,12246,122627000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122637000000,12247,122637000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122648000000,12248,122647000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122657000000,12249,122657000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122668000000,12250,122668000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122677000000,12251,122677000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122687000000,12252,122687000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122697000000,12253,122697000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122707000000,12254,122707000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122717000000,12255,122717000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122727000000,12256,122727000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122737000000,12257,122737000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122747000000,12258,122747000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122757000000,12259,122757000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122767000000,12260,122767000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122777000000,12261,122777000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122787000000,12262,122787000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122797000000,12263,122797000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122807000000,12264,122807000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122817000000,12265,122817000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122827000000,12266,122827000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122837000000,12267,122837000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122847000000,12268,122847000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122858000000,12269,122858000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122867000000,12270,122867000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122877000000,12271,122877000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122887000000,12272,122887000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122898000000,12273,122898000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122907000000,12274,122907000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
